SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
ssj584.3001.10635	1.7272727272727273	1.548283664645143	5	13	1	1	1.0
278.sl.131094	2.526315789473684	1.0947636021758247	8	22	2	1	2.0
ssj351.2048.7233	1.8571428571428572	1.2497956007354607	3	9	1	1	1.0
ssj377.2167.7689	1.5	0.05889151782819164	3	4	1	1	1.0
ssj563.2927.10372	2.896551724137931	1.1694330904704524	7	37	4	3	1.3333333333333333
ssj315.1891.6739	2.076923076923077	1.5913079410278939	4	16	3	2	1.5
ssj144.993.3751	2.619047619047619	1.6580627600207734	6	25	3	1	3.0
ssj134.877.3360	3.4814814814814814	1.3734155912641464	8	33	5	2	2.5
ssj161.1097.4073	3.0	1.9459101490553135	6	27	4	2	2.0
ssj476.2575.9175	2.4642857142857144	1.5689192168825967	9	32	2	1	2.0
ssj604.3098.10980	2.0	1.0845268501847616	4	9	1	1	1.0
ssj373.2140.7613	2.125	1.5284022933575379	5	20	3	2	1.5
ssj358.2066.7312	2.0	0.8291140383017661	4	9	1	1	1.0
755.sl.131573	2.0833333333333335	1.31320310603085	4	14	1	1	1.0
ssj144.973.3706	2.962962962962963	1.8442033430633804	7	31	4	1	4.0
801.sl.131619	2.5384615384615383	1.04406365528577	5	16	3	2	1.5
ssj360.2076.7350	3.142857142857143	1.1818478707757591	8	28	2	1	2.0
ssj172.1180.4306	2.6666666666666665	1.3602363605503838	6	31	3	3	1.0
ssj223.1464.5314	2.347826086956522	1.6101370119434775	6	27	3	3	1.0
ssj144.1009.3803	2.75	0.23085241321552022	6	16	2	1	2.0
ssj604.3101.10992	1.5	0.8369882167858357	3	6	1	1	1.0
858.sl.131676	2.0	0.6263814842476839	4	10	2	1	2.0
ssj177.1197.4368	2.533333333333333	0.7710627322069021	7	19	4	1	4.0
ssj188.1238.4503	2.625	1.2735875111955162	5	12	1	1	1.0
ssj161.1082.4040	2.0	0.8958797346140274	4	10	1	1	1.0
ssj249.1602.5817	2.0	1.3195286648076292	3	10	1	1	1.0
ssj118.762.2874	3.0	0.7458274383888585	4	9	2	1	2.0
ssj238.1570.5687	3.9	2.0929010863554676	6	57	7	5	1.4
ssj20.91.385	1.5	1.2951335827229133	3	8	1	1	1.0
ssj571.2946.10469	1.6666666666666667	1.1370928092361738	5	11	1	1	1.0
ssj325.1928.6860	3.325	1.5388497875631781	6	46	3	2	1.5
ssj315.1890.6735	2.1666666666666665	1.0956449209082024	3	8	1	1	1.0
ssj384.2204.7810	1.3333333333333333	1.1575038064963012	4	8	1	1	1.0
ssj126.799.3023	4.384615384615385	0.7002525029717825	6	35	4	4	1.0
1689.sl.132515	2.3636363636363638	1.7250407322959642	5	25	2	1	2.0
ssj607.3132.11124	2.1	1.5079674904357552	6	12	1	1	1.0
ssj69.432.1648	2.8333333333333335	0.7503055943998939	4	15	3	2	1.5
ssj141.910.3486	3.0	0.7201807911950832	8	23	4	1	4.0
ssj579.2990.10591	3.8947368421052633	1.1523141463854087	10	46	7	2	3.5
ssj344.2010.7141	4.157894736842105	1.086931387122557	4	23	2	2	1.0
ssj267.1695.6048	2.1818181818181817	1.3146688134636377	4	14	1	1	1.0
ssj166.1135.4190	3.0	1.6072107372594102	5	17	1	1	1.0
ssj456.2512.8898	2.1875	1.152841166204313	5	18	3	2	1.5
ssj29.179.723	1.6	0.8840214713053695	3	7	1	1	1.0
1552.sl.132377	2.0	1.039720770839918	4	11	2	2	1.0
ssj142.943.3608	1.8461538461538463	1.9118235307383598	10	30	2	1	2.0
ssj177.1197.4363	3.5	0.5916767585616002	3	13	2	2	1.0
ssj90.590.2223	2.7142857142857144	1.0141470152564473	3	9	1	1	1.0
ssj279.1733.6138	2.6315789473684212	0.5046354633215147	8	22	2	1	2.0
ssj116.726.2731	1.5	0.05889151782819164	2	4	1	1	1.0
ssj59.362.1464	2.611111111111111	0.48541003513418834	5	22	4	4	1.0
ssj587.3019.10675	1.0	0.8958797346140274	3	5	1	1	1.0
364.sl.131180	1.8	1.5709573918660364	6	17	1	1	1.0
ssj536.2830.10070	3.5	1.3092190212062615	4	30	3	3	1.0
ssj184.1225.4449	2.64	1.3318061758358208	5	28	1	1	1.0
ssj225.1471.5358	2.5238095238095237	1.5694468175606693	6	24	2	1	2.0
ssj170.1158.4237	1.0	0.0	2	2	1	1	1.0
670.sl.131488	2.0	0.34657359027997275	5	11	1	1	1.0
ssj355.2058.7274	2.888888888888889	0.8424592841998972	3	12	2	2	1.0
ssj92.610.2307	2.466666666666667	1.144304569569036	4	18	3	2	1.5
ssj154.1051.3936	1.8	1.0216512475319814	3	8	1	1	1.0
ssj75.485.1813	2.0	1.7406200446678457	4	17	3	1	3.0
ssj161.1087.4054	3.357142857142857	0.455011982992802	5	18	1	1	1.0
ssj252.1614.5845	2.0	1.0074515102711326	4	7	1	1	1.0
ssj342.1993.7078	2.111111111111111	1.8969191135170467	4	20	1	1	1.0
ssj393.2229.7881	3.212121212121212	2.1907601605217537	6	39	3	2	1.5
ssj234.1550.5607	5.26	2.2903724992465917	12	62	5	3	1.6666666666666667
ssj226.1504.5478	2.7	1.1977615443266574	6	25	4	2	2.0
1135.sl.131954	2.0	1.3940464543878732	5	15	1	1	1.0
ssj86.569.2162	2.6956521739130435	1.9624012999685234	9	53	5	4	1.25
2004.sl.132830	1.7777777777777777	1.0725542880986028	5	12	2	2	1.0
1950.sl.132776	1.7777777777777777	1.327967099981598	4	11	1	1	1.0
ssj21.100.423	n/a	n/a	2	3	1	1	1.0
ssj384.2196.7786	2.8823529411764706	1.330954792501354	4	21	2	1	2.0
ssj604.3102.11001	2.2857142857142856	1.7941949343453534	6	26	4	2	2.0
