SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
ssj76.491.1839	2.5294117647058822	1.687567536789947	5	19	2	2	1.0
ssj81.532.2027	3.65	1.0078579253996456	6	24	4	3	1.3333333333333333
663.sl.131481	2.727272727272727	0.8887927080953458	4	15	1	1	1.0
ssj27.142.571	2.6875	0.9469891120001643	6	21	1	1	1.0
ssj529.2790.9933	1.0	0.0	2	3	1	1	1.0
ssj64.406.1576	2.7857142857142856	0.8443304926272964	4	18	1	1	1.0
ssj230.1528.5535	3.3333333333333335	0.24121307462214617	4	16	2	2	1.0
ssj151.1028.3850	4.133333333333334	0.7396598728252738	5	20	2	2	1.0
ssj598.3079.10907	2.392857142857143	1.7665692203994965	7	31	3	2	1.5
ssj415.2313.8148	2.625	0.07463987479633095	4	10	2	2	1.0
ssj132.841.3228	2.590909090909091	1.3982313684199739	9	25	3	1	3.0
328.sl.131144	1.8	0.2169322913149312	4	7	1	1	1.0
ssj15.70.278	3.142857142857143	0.37712891455870895	8	27	2	1	2.0
ssj215.1433.5189	3.0	0.4054651081081644	3	9	1	1	1.0
ssj193.1277.4617	2.25	0.11778303565638346	4	9	1	1	1.0
ssj546.2867.10189	1.875	1.3840671859452005	3	10	1	1	1.0
ssj193.1286.4649	2.0	0.8958797346140274	3	8	1	1	1.0
976.sl.131795	1.75	1.5198257537444133	7	18	1	1	1.0
ssj277.1719.6106	2.6666666666666665	1.6633042623355414	4	21	2	2	1.0
ssj191.1245.4525	2.5714285714285716	0.3750670559667778	4	12	3	3	1.0
ssj36.215.888	2.3333333333333335	0.9444616088408514	6	16	5	2	2.5
1701.sl.132527	1.7142857142857142	1.3298383084089973	4	9	1	1	1.0
ssj215.1427.5172	2.5	1.4059047176965311	9	33	4	1	4.0
ssj348.2029.7189	1.5	0.05889151782819164	3	4	1	1	1.0
ssj558.2906.10296	3.05	0.729298136437648	7	26	5	2	2.5
ssj40.239.956	n/a	n/a	2	3	1	1	1.0
ssj616.3184.11324	3.04	1.914187069044078	7	30	7	3	2.3333333333333335
