SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
Gos138.s49	n/a	n/a	1	1	1	1	1.0
Gos217.s91	1.75	0.48010498290449527	3	5	2	2	1.0
Gos231.s56	n/a	n/a	1	1	1	1	1.0
Gos241.s151	n/a	n/a	1	1	1	1	1.0
Artur-N-G6047-P604702.s9-s13_iriss.1548	2.310344827586207	1.8192062001164018	9	30	4	2	2.0
Gos228.s86	2.0	0.20273255405408205	4	7	1	1	1.0
Artur-J-Gvecg-P500002.s40-s41_iriss.55	2.85	1.7330218212272046	7	21	1	1	1.0
Artur-N-G5053-P600052.s10_iriss.1233	n/a	n/a	1	1	1	1	1.0
Artur-N-G5026-P600021.s31_iriss.1073	n/a	n/a	1	1	1	1	1.0
Artur-N-G6083-P608301.s30_iriss.1620	1.0	0.0	2	2	1	1	1.0
Gos273.s82	3.466666666666667	1.2621241295689105	5	16	4	2	2.0
Artur-J-Gvecg-P580041.s79_iriss.738	2.0	1.3195286648076292	4	8	1	1	1.0
Gos159.s663	1.0	0.34657359027997275	2	2	1	1	1.0
Artur-J-Gvecg-P580041.s23_iriss.698	2.6923076923076925	1.0967949309199416	4	14	2	1	2.0
Gos157.s158	n/a	n/a	1	1	1	1	1.0
Gos146.s146	2.909090909090909	1.026986741011857	3	12	2	2	1.0
Gos259.s30	1.5	0.8369882167858357	2	5	1	1	1.0
Gos261.s70	3.0	0.9485599924429406	2	11	1	1	1.0
Gos161.s155	3.0	1.4543604482821806	5	16	2	1	2.0
Gos219.s85	1.5	0.49041462650586304	2	3	1	1	1.0
Artur-J-Gvecg-P500001.s699-s705_iriss.6	3.0344827586206895	1.6133277013414227	6	30	2	2	1.0
Gos262.s137	1.0	0.0	2	2	1	1	1.0
Gos223.s340	2.4444444444444446	0.754100556980068	3	10	1	1	1.0
Gos209.s74	1.3333333333333333	0.8109302162163288	2	4	1	1	1.0
Gos246.s368	2.2857142857142856	0.9509954575602391	2	8	1	1	1.0
Gos089.s42	2.5	0.9281489951828131	3	9	1	1	1.0
Gos258.s71	3.12	1.7140582355067095	5	26	1	1	1.0
Artur-P-G7036-P701111.s25-s28_iriss.1873	3.259259259259259	0.4664184845282872	7	28	7	4	1.75
Gos082.s2	3.0	1.3465622754427673	5	20	4	2	2.0
Gos228.s53	2.4516129032258065	1.5133946470013335	6	32	6	2	3.0
Gos281.s266	n/a	n/a	1	1	1	1	1.0
Artur-N-G5035-P600034.s5_iriss.1100	2.3	0.8676895678959738	3	11	1	1	1.0
Gos229.s359	1.0	0.34657359027997275	2	2	1	1	1.0
Gos184.s164	1.8333333333333333	1.0944628872607622	3	7	1	1	1.0
Artur-J-Gvecg-P580051.s198-s212_iriss.796	3.8072289156626504	1.2190922883879576	13	84	7	1	7.0
Artur-N-G5019-P600012.s10_iriss.913	2.5	0.5815754049028404	2	5	1	1	1.0
Artur-N-G6083-P608301.s15-s16_iriss.1616	4.181818181818182	0.11477510298843349	3	12	3	2	1.5
Artur-J-Gvecg-P580051.s289-s291_iriss.814	2.4615384615384617	1.354643207920235	5	14	2	1	2.0
Artur-N-G6001-P600102.s19-s25_iriss.1410	3.2142857142857144	1.6497896414295636	10	71	12	6	2.0
Gos056.s456	1.0	0.8958797346140274	3	3	1	1	1.0
Gos280.s32	2.875	0.8795478312046316	5	17	4	4	1.0
Artur-J-Gvecg-P580023.s112-s113_iriss.674	1.5	0.49041462650586304	2	3	1	1	1.0
Gos040.s151	2.1666666666666665	1.1624106172204636	4	13	2	2	1.0
